,品种代码,品种名称,纳入日期
0,601058,赛轮轮胎,2025-03-04
1,002463,沪电股份,2024-12-16
2,600066,宇通客车,2024-12-16
3,300394,天孚通信,2024-12-16
4,600160,巨化股份,2024-12-16
5,600482,中国动力,2024-12-16
6,002028,思源电气,2024-12-16
7,000975,山金国际,2024-12-16
8,600377,宁沪高速,2024-12-16
9,688472,阿特斯,2024-12-16
10,002422,科伦药业,2024-12-16
11,601127,赛力斯,2024-12-16
12,300502,新易盛,2024-12-16
13,688169,石头科技,2024-12-16
14,688506,百利天恒,2024-12-16
15,601136,首创证券,2024-12-16
16,000630,铜陵有色,2024-12-16
17,600415,小商品城,2024-06-17
18,600161,天坛生物,2024-06-17
19,300442,润泽科技,2024-06-17
20,688009,中国通号,2024-06-17
21,300832,新产业,2024-06-17
22,603296,华勤技术,2024-06-17
23,688082,盛美上海,2024-06-17
24,001965,招商公路,2024-06-17
25,000807,云铝股份,2024-06-17
26,600027,华电国际,2024-06-17
27,600026,中远海能,2024-06-17
28,300418,昆仑万维,2024-06-17
29,600372,中航机载,2023-12-11
30,000999,华润三九,2023-12-11
31,600023,浙能电力,2023-12-11
32,601059,信达证券,2023-12-11
33,688041,海光信息,2023-12-11
34,301269,华大九天,2023-12-11
35,600489,中金黄金,2023-12-11
36,600515,海南机场,2023-12-11
37,300308,中际旭创,2023-12-11
38,601916,浙商银行,2023-12-11
39,600938,中国海油,2023-12-11
40,688041,海光信息,2023-12-11
41,600372,中航机载,2023-12-11
42,688223,晶科能源,2023-06-12
43,600875,东方电气,2023-06-12
44,000983,山西焦煤,2023-06-12
45,000617,中油资本,2023-06-12
46,601699,潞安环能,2023-06-12
47,601872,招商轮船,2023-06-12
48,601607,上海医药,2023-06-12
49,601689,拓普集团,2022-12-12
50,002180,纳思达,2022-12-12
51,600233,圆通速递,2022-12-12
52,688303,大全能源,2022-12-12
53,600803,新奥股份,2022-12-12
54,600674,川投能源,2022-12-12
55,688187,时代电气,2022-12-12
56,600039,四川路桥,2022-12-12
57,605117,德业股份,2022-12-12
58,001289,龙源电力,2022-06-13
59,601117,中国化学,2022-06-13
60,600219,南山铝业,2022-06-13
61,000792,盐湖股份,2022-06-13
62,002920,德赛西威,2022-06-13
63,300661,圣邦股份,2022-06-13
64,002648,卫星化学,2022-06-13
65,600460,士兰微,2022-06-13
66,000408,藏格矿业,2022-06-13
67,600188,兖矿能源,2022-06-13
68,002074,国轩高科,2022-06-13
69,600941,中国移动,2022-06-13
70,600089,特变电工,2022-06-13
71,300979,华利集团,2022-06-13
72,300760,迈瑞医疗,2021-12-13
73,002466,天齐锂业,2021-12-13
74,300896,爱美客,2021-12-13
75,300750,宁德时代,2021-12-13
76,002459,晶澳科技,2021-12-13
77,688981,中芯国际,2021-12-13
78,601868,中国能建,2021-12-13
79,605499,东鹏饮料,2021-12-13
80,688599,天合光能,2021-12-13
81,600905,三峡能源,2021-12-13
82,300782,卓胜微,2021-12-13
83,601728,中国电信,2021-12-13
84,300316,晶盛机电,2021-12-13
85,300759,康龙化成,2021-12-13
86,300760,迈瑞医疗,2021-12-13
87,601868,中国能建,2021-12-13
88,002459,晶澳科技,2021-12-13
89,300750,宁德时代,2021-12-13
90,002709,天赐材料,2021-12-13
91,605499,东鹏饮料,2021-12-13
92,688396,华润微,2021-06-15
93,688126,沪硅产业,2021-06-15
94,688111,金山办公,2021-06-15
95,603806,福斯特,2021-06-15
96,603659,璞泰来,2021-06-15
97,601995,中金公司,2021-06-15
98,601799,星宇股份,2021-06-15
99,600426,华鲁恒升,2021-06-15
100,300450,先导智能,2021-06-15
101,300274,阳光电源,2021-06-15
102,000800,一汽解放,2021-06-15
103,600600,青岛啤酒,2020-12-14
104,688012,中微公司,2020-12-14
105,603195,公牛集团,2020-12-14
106,002049,紫光国微,2020-12-14
107,600150,中国船舶,2020-12-14
108,603392,万泰生物,2020-12-14
109,688036,传音控股,2020-12-14
110,600584,长电科技,2020-12-14
111,600845,宝信软件,2020-12-14
112,002812,恩捷股份,2020-12-14
113,600918,中泰证券,2020-12-14
114,688008,澜起科技,2020-12-14
115,000977,浪潮信息,2020-06-15
116,601816,京沪高铁,2020-06-15
117,601100,恒立液压,2020-06-15
118,000708,中信特钢,2020-06-15
119,002129,中环股份,2020-06-15
120,603369,今世缘,2020-06-15
121,600745,闻泰科技,2020-06-15
122,601100,恒立液压,2020-06-15
123,002371,北方华创,2020-06-15
124,003816,中国广核,2020-06-15
125,300014,亿纬锂能,2020-06-15
126,300628,亿联网络,2020-06-15
127,002916,深南电路,2019-12-16
128,300347,泰格医药,2019-12-16
129,600183,生益科技,2019-12-16
130,600989,宝丰能源,2019-12-16
131,601236,红塔证券,2019-12-16
132,601698,中国卫通,2019-12-16
133,603501,韦尔股份,2019-12-16
134,002938,鹏鼎控股,2019-06-17
135,300413,芒果超媒,2019-06-17
136,300498,温氏股份,2019-06-17
137,601319,中国人保,2019-06-17
138,603019,中科曙光,2019-06-17
139,000596,古井贡酒,2019-06-17
140,603986,兆易创新,2018-12-17
141,002179,中航光电,2018-12-17
142,000661,长春高新,2018-12-17
143,002001,新和成,2018-12-17
144,601138,工业富联,2018-12-17
145,002311,海大集团,2018-12-17
146,600760,中航沈飞,2018-12-17
147,601066,中信建投,2018-12-17
148,002271,东方雨虹,2018-12-17
149,603259,药明康德,2018-12-17
150,000786,北新建材,2018-06-11
151,601808,中海油服,2018-06-11
152,600176,中国巨石,2018-06-11
153,600438,通威股份,2018-06-11
154,600809,山西汾酒,2018-06-11
155,601360,三六零,2018-06-11
156,600025,华能水电,2018-06-11
157,600346,恒力股份,2018-06-11
158,603288,海天味业,2018-06-11
159,601238,广汽集团,2018-06-11
160,600025,华能水电,2018-06-11
161,600346,恒力股份,2018-06-11
162,603288,海天味业,2018-06-11
163,601238,广汽集团,2018-06-11
164,601838,成都银行,2018-06-11
165,601012,隆基股份,2017-12-11
166,002601,龙蟒佰利,2017-12-11
167,603799,华友钴业,2017-12-11
168,600011,华能国际,2017-12-11
169,603833,欧派家居,2017-12-11
170,002460,赣锋锂业,2017-12-11
171,601878,浙商证券,2017-12-11
172,300122,智飞生物,2017-12-11
173,300015,爱尔眼科,2017-12-11
174,002352,顺丰控股,2017-06-12
175,002555,三七互娱,2017-06-12
176,600436,片仔癀,2017-06-12
177,600919,江苏银行,2017-06-12
178,600926,杭州银行,2017-06-12
179,601229,上海银行,2017-06-12
180,601881,中国银河,2017-06-12
181,002714,牧原股份,2016-12-12
182,300033,同花顺,2016-12-12
183,601877,正泰电器,2016-12-12
184,000938,紫光股份,2016-12-12
185,002027,分众传媒,2016-06-13
186,600061,国投安信,2016-06-13
187,001979,招商蛇口,2015-12-30
188,601211,国泰君安,2015-12-14
189,601985,中国核电,2015-12-14
190,002736,国信证券,2015-06-15
191,300059,东方财富,2015-06-15
192,600958,东方证券,2015-06-15
193,601021,春秋航空,2015-06-15
194,601788,光大证券,2015-06-15
195,601919,中国远洋,2015-06-15
196,000166,申万宏源,2015-01-26
197,600570,恒生电子,2014-12-15
198,300124,汇川技术,2014-12-15
199,002252,上海莱士,2014-06-16
200,002252,上海莱士,2014-06-16
201,002475,立讯精密,2014-06-16
202,600018,上港集团,2013-12-16
203,002230,科大讯飞,2013-12-16
204,000333,美的集团,2013-09-18
205,000963,华东医药,2013-07-01
206,600332,广州药业,2013-07-01
207,603993,洛阳钼业,2013-07-01
208,002236,大华股份,2013-01-04
209,600886,国投电力,2013-01-04
210,601800,中国交建,2013-01-04
211,000725,京东方A,2012-07-02
212,002241,歌尔声学,2012-07-02
213,601336,新华保险,2012-07-02
214,601633,长城汽车,2012-07-02
215,601669,中国水电,2012-07-02
216,601901,方正证券,2012-07-02
217,002594,比亚迪,2012-01-04
218,601377,兴业证券,2011-07-01
219,000776,广发证券,2011-01-04
220,002415,海康威视,2011-01-04
221,600115,东方航空,2011-01-04
222,600276,恒瑞医药,2011-01-04
223,600406,国电南瑞,2011-01-04
224,600887,伊利股份,2011-01-04
225,600893,航空动力,2011-01-04
226,601818,光大银行,2011-01-04
227,601288,农业银行,2010-07-29
228,002304,洋河股份,2010-07-01
229,600999,招商证券,2010-07-01
230,601688,华泰证券,2010-07-01
231,601888,中国国旅,2010-07-01
232,601989,中国重工,2010-07-01
233,002007,华兰生物,2010-01-04
234,601618,中国中冶,2010-01-04
235,601668,中国建筑,2010-01-04
236,601766,中国南车,2009-07-01
237,000100,TCL集团,2009-01-05
238,600588,用友软件,2009-01-05
239,601186,中国铁建,2009-01-05
240,601899,紫金矿业,2009-01-05
241,601390,中国中铁,2008-07-01
242,601601,中国太保,2008-07-01
243,601939,建设银行,2008-07-01
244,000338,潍柴动力,2008-01-02
245,000895,双汇发展,2008-01-02
246,002142,宁波银行,2008-01-02
247,600111,包钢稀土,2008-01-02
248,601009,南京银行,2008-01-02
249,601169,北京银行,2008-01-02
250,601857,中国石油,2007-11-19
251,601088,中国神华,2007-10-23
252,000876,新希望,2007-07-02
253,601328,交通银行,2007-05-29
254,601998,中信银行,2007-05-18
255,601600,中国铝业,2007-04-30
256,601318,中国平安,2007-03-15
257,601166,兴业银行,2007-02-26
258,601628,中国人寿,2007-01-23
259,600547,山东黄金,2007-01-04
260,601111,中国国航,2007-01-04
261,600048,保利地产,2007-01-04
262,601398,工商银行,2006-11-10
263,601006,大秦铁路,2006-08-15
264,601988,中国银行,2006-07-19
265,000768,西飞国际,2006-01-04
266,000538,云南白药,2005-07-01
267,600690,青岛海尔,2005-04-08
268,600660,福耀玻璃,2005-04-08
269,600585,海螺水泥,2005-04-08
270,600519,贵州茅台,2005-04-08
271,600362,江西铜业,2005-04-08
272,000858,五粮液,2005-04-08
273,000625,长安汽车,2005-04-08
274,000651,格力电器,2005-04-08
275,000568,泸州老窖,2005-04-08
276,000425,徐工科技,2005-04-08
277,000157,中联重科,2005-04-08
278,000063,中兴通讯,2005-04-08
279,000001,深发展A,2005-04-08
280,600009,上海机场,2005-04-08
281,600010,包钢股份,2005-04-08
282,600015,华夏银行,2005-04-08
283,600016,民生银行,2005-04-08
284,600019,宝钢股份,2005-04-08
285,600028,中国石化,2005-04-08
286,600029,南方航空,2005-04-08
287,600030,中信证券,2005-04-08
288,600031,三一重工,2005-04-08
289,600036,招商银行,2005-04-08
290,600050,中国联通,2005-04-08
291,000858,五粮液,2005-04-08
292,000625,长安汽车,2005-04-08
293,000651,格力电器,2005-04-08
294,000568,泸州老窖,2005-04-08
295,000425,徐工科技,2005-04-08
296,000157,中联重科,2005-04-08
297,000063,中兴通讯,2005-04-08
298,000001,深发展A,2005-04-08
299,000002,万科A,2005-04-08
